infinitive_english,infinitive,mood,mood_english,tense,tense_english,verb_english,1st person singular,2nd person singular,3rd person singular,1st person plural,2nd person plural,third person plural,gerund,pastparticiple
to embroider,bordar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have embroidered,he bordado,has bordado,ha bordado,hemos bordado,habéis bordado,han bordado,bordando,bordado
to embroider,bordar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have embroidered,habré bordado,habrás bordado,habrá bordado,habremos bordado,habréis bordado,habrán bordado,bordando,bordado
to embroider,bordar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had embroidered,había bordado,habías bordado,había bordado,habíamos bordado,habíais bordado,habían bordado,bordando,bordado
to embroider,bordar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had embroidered,hube bordado,hubiste bordado,hubo bordado,hubimos bordado,hubisteis bordado,hubieron bordado,bordando,bordado
to embroider,bordar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have embroidered,habría bordado,habrías bordado,habría bordado,habríamos bordado,habríais bordado,habrían bordado,bordando,bordado
to embroider,bordar,Subjuntivo,Subjunctive,Presente,Present,"I embroider, am embroidering",borde,bordes,borde,bordemos,bordéis,borden,bordando,bordado
to embroider,bordar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I embroidered, was embroidering",bordara,bordaras,bordara,bordáramos,bordarais,bordaran,bordando,bordado
to embroider,bordar,Subjuntivo,Subjunctive,Futuro,Future,I will embroider,bordare,bordares,bordare,bordáremos,bordareis,bordaren,bordando,bordado
to embroider,bordar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have embroidered, embroidered",haya bordado,hayas bordado,haya bordado,hayamos bordado,hayáis bordado,hayan bordado,bordando,bordado
to embroider,bordar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have embroidered,hubiere bordado,hubieres bordado,hubiere bordado,hubiéremos bordado,hubiereis bordado,hubieren bordado,bordando,bordado
to embroider,bordar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had embroidered,hubiera bordado,hubieras bordado,hubiera bordado,hubiéramos bordado,hubierais bordado,hubieran bordado,bordando,bordado
to embroider,bordar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Embroider! Don't embroider!,,borda,bordad,,borde,borden,bordando,bordado
to embroider,bordar,Imperativo Negativo,Imperative Negative,Presente,Present,Embroider! Don't embroider!,,no bordes,no bordéis,,no borde,no borden,bordando,bordado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Presente,Present,"I erase, am erasing",borro,borras,borra,borramos,borráis,borran,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Futuro,Future,I will erase,borraré,borrarás,borrará,borraremos,borraréis,borrarán,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Imperfecto,Imperfect,"I was erasing, used to erase, erased",borraba,borrabas,borraba,borrábamos,borrabais,borraban,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Pretérito,Preterite,I erased,borré,borraste,borró,borramos,borrasteis,borraron,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Condicional,Conditional,I would erase,borraría,borrarías,borraría,borraríamos,borraríais,borrarían,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have erased,he borrado,has borrado,ha borrado,hemos borrado,habéis borrado,han borrado,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have erased,habré borrado,habrás borrado,habrá borrado,habremos borrado,habréis borrado,habrán borrado,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had erased,había borrado,habías borrado,había borrado,habíamos borrado,habíais borrado,habían borrado,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had erased,hube borrado,hubiste borrado,hubo borrado,hubimos borrado,hubisteis borrado,hubieron borrado,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have erased,habría borrado,habrías borrado,habría borrado,habríamos borrado,habríais borrado,habrían borrado,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Subjuntivo,Subjunctive,Presente,Present,"I erase, am erasing",borre,borres,borre,borremos,borréis,borren,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I erased, was erasing",borrara,borraras,borrara,borráramos,borrarais,borraran,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Subjuntivo,Subjunctive,Futuro,Future,I will erase,borrare,borrares,borrare,borráremos,borrareis,borraren,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have erased, erased",haya borrado,hayas borrado,haya borrado,hayamos borrado,hayáis borrado,hayan borrado,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have erased,hubiere borrado,hubieres borrado,hubiere borrado,hubiéremos borrado,hubiereis borrado,hubieren borrado,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had erased,hubiera borrado,hubieras borrado,hubiera borrado,hubiéramos borrado,hubierais borrado,hubieran borrado,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Erase! Don't erase!,,borra,borrad,,borre,borren,borrando,borrado
"to erase, rub out, to cross out, obliterate, wipe out",borrar,Imperativo Negativo,Imperative Negative,Presente,Present,Erase! Don't erase!,,no borres,no borréis,,no borre,no borren,borrando,borrado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Presente,Present,"I shine, am shining",brillo,brillas,brilla,brillamos,brilláis,brillan,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Futuro,Future,I will shine,brillaré,brillarás,brillará,brillaremos,brillaréis,brillarán,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Imperfecto,Imperfect,"I was shining, used to shine, shined",brillaba,brillabas,brillaba,brillábamos,brillabais,brillaban,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Pretérito,Preterite,I shined,brillé,brillaste,brilló,brillamos,brillasteis,brillaron,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Condicional,Conditional,I would shine,brillaría,brillarías,brillaría,brillaríamos,brillaríais,brillarían,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have shone,he brillado,has brillado,ha brillado,hemos brillado,habéis brillado,han brillado,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have shone,habré brillado,habrás brillado,habrá brillado,habremos brillado,habréis brillado,habrán brillado,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had shone,había brillado,habías brillado,había brillado,habíamos brillado,habíais brillado,habían brillado,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had shone,hube brillado,hubiste brillado,hubo brillado,hubimos brillado,hubisteis brillado,hubieron brillado,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have shone,habría brillado,habrías brillado,habría brillado,habríamos brillado,habríais brillado,habrían brillado,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Subjuntivo,Subjunctive,Presente,Present,"I shine, am shining",brille,brilles,brille,brillemos,brilléis,brillen,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I shined, was shining",brillara,brillaras,brillara,brilláramos,brillarais,brillaran,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Subjuntivo,Subjunctive,Futuro,Future,I will shine,brillare,brillares,brillare,brilláremos,brillareis,brillaren,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have shone, shined",haya brillado,hayas brillado,haya brillado,hayamos brillado,hayáis brillado,hayan brillado,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have shone,hubiere brillado,hubieres brillado,hubiere brillado,hubiéremos brillado,hubiereis brillado,hubieren brillado,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had shone,hubiera brillado,hubieras brillado,hubiera brillado,hubiéramos brillado,hubierais brillado,hubieran brillado,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Shine! Don't shine!,,brilla,brillad,,brille,brillen,brillando,brillado
"to shine, sparkle, glitter, gleam",brillar,Imperativo Negativo,Imperative Negative,Presente,Present,Shine! Don't shine!,,no brilles,no brilléis,,no brille,no brillen,brillando,brillado
to toast,brindar,Indicativo,Indicative,Presente,Present,"I toast, am toasting",brindo,brindas,brinda,brindamos,brindáis,brindan,brindando,brindado
to toast,brindar,Indicativo,Indicative,Futuro,Future,I will toast,brindaré,brindarás,brindará,brindaremos,brindaréis,brindarán,brindando,brindado
to toast,brindar,Indicativo,Indicative,Imperfecto,Imperfect,"I was toasting, used to toast, toasted",brindaba,brindabas,brindaba,brindábamos,brindabais,brindaban,brindando,brindado
to toast,brindar,Indicativo,Indicative,Pretérito,Preterite,I toasted,brindé,brindaste,brindó,brindamos,brindasteis,brindaron,brindando,brindado
to toast,brindar,Indicativo,Indicative,Condicional,Conditional,I would toast,brindaría,brindarías,brindaría,brindaríamos,brindaríais,brindarían,brindando,brindado
to toast,brindar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have toasted,he brindado,has brindado,ha brindado,hemos brindado,habéis brindado,han brindado,brindando,brindado
to toast,brindar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have toasted,habré brindado,habrás brindado,habrá brindado,habremos brindado,habréis brindado,habrán brindado,brindando,brindado
to toast,brindar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had toasted,había brindado,habías brindado,había brindado,habíamos brindado,habíais brindado,habían brindado,brindando,brindado
to toast,brindar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had toasted,hube brindado,hubiste brindado,hubo brindado,hubimos brindado,hubisteis brindado,hubieron brindado,brindando,brindado
to toast,brindar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have toasted,habría brindado,habrías brindado,habría brindado,habríamos brindado,habríais brindado,habrían brindado,brindando,brindado
to toast,brindar,Subjuntivo,Subjunctive,Presente,Present,"I toast, am toasting",brinde,brindes,brinde,brindemos,brindéis,brinden,brindando,brindado
to toast,brindar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I toasted, was toasting",brindara,brindaras,brindara,brindáramos,brindarais,brindaran,brindando,brindado
to toast,brindar,Subjuntivo,Subjunctive,Futuro,Future,I will toast,brindare,brindares,brindare,brindáremos,brindareis,brindaren,brindando,brindado
to toast,brindar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have toasted, toasted",haya brindado,hayas brindado,haya brindado,hayamos brindado,hayáis brindado,hayan brindado,brindando,brindado
to toast,brindar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have toasted,hubiere brindado,hubieres brindado,hubiere brindado,hubiéremos brindado,hubiereis brindado,hubieren brindado,brindando,brindado
to toast,brindar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had toasted,hubiera brindado,hubieras brindado,hubiera brindado,hubiéramos brindado,hubierais brindado,hubieran brindado,brindando,brindado
to toast,brindar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Toast! Don't toast!,,brinda,brindad,,brinde,brinden,brindando,brindado
to toast,brindar,Imperativo Negativo,Imperative Negative,Presente,Present,Toast! Don't toast!,,no brindes,no brindéis,,no brinde,no brinden,brindando,brindado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Presente,Present,"I get a suntan, am getting a suntan",me bronceo,te bronceas,se broncea,nos bronceamos,os bronceáis,se broncean,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Futuro,Future,I will get a suntan,me broncearé,te broncearás,se bronceará,nos broncearemos,os broncearéis,se broncearán,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Imperfecto,Imperfect,"I was getting a suntan, used to get a suntan, got a suntan",me bronceaba,te bronceabas,se bronceaba,nos bronceábamos,os bronceabais,se bronceaban,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Pretérito,Preterite,I got a suntan,me bronceé,te bronceaste,se bronceó,nos bronceamos,os bronceasteis,se broncearon,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Condicional,Conditional,I would get a suntan,me broncearía,te broncearías,se broncearía,nos broncearíamos,os broncearíais,se broncearían,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Presente perfecto,Present Perfect,I have gotten a suntan,me he bronceado,te has bronceado,se ha bronceado,nos hemos bronceado,os habéis bronceado,se han bronceado,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have gotten a suntan,me habré bronceado,te habrás bronceado,se habrá bronceado,nos habremos bronceado,os habréis bronceado,se habrán bronceado,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had gotten a suntan,me había bronceado,te habías bronceado,se había bronceado,nos habíamos bronceado,os habíais bronceado,se habían bronceado,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had gotten a suntan,me hube bronceado,te hubiste bronceado,se hubo bronceado,nos hubimos bronceado,os hubisteis bronceado,se hubieron bronceado,bronceándose,bronceado
"to get a suntan, tan",broncearse,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have gotten a suntan,me habría bronceado,te habrías bronceado,se habría bronceado,nos habríamos bronceado,os habríais bronceado,se habrían bronceado,bronceándose,bronceado
"to get a suntan, tan",broncearse,Subjuntivo,Subjunctive,Presente,Present,"I get a suntan, am getting a suntan",me broncee,te broncees,se broncee,nos bronceemos,os bronceéis,se bronceen,bronceándose,bronceado
"to get a suntan, tan",broncearse,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I got a suntan, was getting a suntan",me bronceara,te broncearas,se bronceara,nos bronceáramos,os broncearais,se broncearan,bronceándose,bronceado
